Date,Platform,Text,Person,Truthfulness Category
"May 30, 2022",facebook,Speedway is offering $500 fuel cards for $1.95 to help customers with rising fuel costs.,Facebook posts,pants-fire
"May 30, 2022",facebook,Aaron Salter Jr. was killed by a mass shooter because he was working on creating a water-powered car engine.,Facebook posts,false
"May 27, 2022",facebook,A Costco gas pump screen said “Don’t blame us. Blame Joe Biden.”,Viral image,false
"May 28, 2022",facebook,"The man who killed the Uvalde, Texas, school shooter “wasn't even an on-duty police officer.”",Facebook posts,false
"May 26, 2022",tweet,“These mass shootings happen so much that Ted Cruz really got a template ready to tweet whenever they occur.”,Tweets,false
"May 25, 2022",facebook,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",Facebook posts,pants-fire
"May 17, 2022",facebook,There’s a “‘positive correlation’ between higher mask usage and COVID-19 deaths.”,Facebook posts,false
"May 25, 2022",post,"""More people die from hands, fists, feet, than rifles.”",Facebook posts,mostly-true
"May 16, 2022",facebook,Studies show plastics can help combat climate change.,Facebook posts,half-true
"May 22, 2022",instagram,A CNN story reported that Rice Krispies added a transgender mascot.,Instagram posts,pants-fire
"May 25, 2022",tweet,"ABC News altered the Uvalde, Texas, school shooter’s photo to appear more Caucasian.",Tweets,false
"May 24, 2022",No Platform,"“90% of Americans, regardless of political party, want universal background checks.”",Steve Kerr,mostly-true
"May 13, 2022",facebook,"A Mars Rover photo captured by NASA shows a doorway, suggesting extraterrestrial life.",Facebook posts,false
"May 6, 2022",tweet,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”",Tweets,false
"May 9, 2022",war room,“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,Michele Bachmann,false
"May 3, 2022",tweet,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger's, eugenicist design.""",Candace Owens,barely-true
"May 14, 2022",twitter,"The mass shooting in Buffalo, New York was a “false flag event.”",Tweets,pants-fire
"May 13, 2022",ad,"Kathy Barnette ""pretends she's America First, but repeatedly attacked President Trump.""",Our American Century,half-true
"April 26, 2022",twitter,"“Title 42 has fueled the border crisis. In 2019, 7 percent of illegal border crossings were repeated crossings. Today the rate is 27 percent.”",Tom Nelson,half-true
"May 10, 2022",facebook,The NewProfilePic app is Russian spyware.,Facebook posts,false
"May 12, 2022",facebook,Homemade baby formula recipes offer a ‘viable option’ during U.S. shortage,Facebook posts,false
"May 8, 2022",fox,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,Lindsey Graham,half-true
"May 11, 2022",facebook,The infant formula shortage was purposely created because Mark Zuckerberg and Bill Gates invested in artificial breast milk.,Facebook posts,false
"May 3, 2022",facebook,"An adenovirus is a combination of viruses, gastrointestinal virus, pneumonia and COVID-19 mixed together to “kill our children.”",Facebook posts,false
"May 7, 2022",facebook,Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.,Facebook posts,false
"May 8, 2022",tweet,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”",Pam Keith,false
"May 5, 2022",facebook,Amber Heard plagiarized lines from the movie “The Talented Mr. Ripley” in her opening statement during the Johnny Depp libel trial.,Facebook posts,false
"April 29, 2022",story,“Military Arrests Biden’s Sec. of Agriculture Tom Vilsack.”,Bloggers,pants-fire
"April 26, 2022",youtube,“mRNA Vaccines Show No Mortality Benefit - Danish Study”,YouTube videos,false
"May 3, 2022",facebook,Says JFK. Jr is masquerading as QAnon promoter Juan O. Savin.,Facebook posts,pants-fire
"April 29, 2022",press conference,"“The student debt that is out there, almost 60% of it is graduate school debt.”",Ron DeSantis,barely-true
"May 3, 2022",fox,“There are 63 million abortions a year in this country.”,Jeanine Pirro,false
"April 24, 2022",blog post,"“A STOLEN ELECTION: State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.”",The Gateway Pundit,false
"April 30, 2022",post,“White House physician demands Biden’s immediate resignation following his ‘obvious’ cognitive decline.”,Facebook posts,false
"April 27, 2022",tweet,“Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’”,Republican National Committee,false
"April 25, 2022",facebook,“The same system that kept you in the dark about Ghislaine Maxwell…doesn’t mind live-streaming Johnny Depp’s trial.”,Viral image,false
"April 24, 2022",debate,A consent decree approved by Gov. Brian Kemp “invalidated all voter ID law” and “allowed fraudulent ballots to be accepted” in the 2020 race.,David Perdue,pants-fire
"April 18, 2022",instagram,“Finnish Court rules sex with children is permitted.”,Instagram posts,false
"April 18, 2022",facebook,Bath and Body Works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”,Facebook posts,false
"April 21, 2022",statement,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.,Donald Trump,false
"April 12, 2022",news release,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”,Mike Gallagher,mostly-true
"April 12, 2022",tweet,A Reddit post shows a parent admitting to forcing their child to continue transitioning by sneaking hormone medication.,Tweets,false
"April 5, 2022",joe biden,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",Raphael Warnock,mostly-true
"April 18, 2022",facebook,The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,Instagram posts,false
"April 14, 2022",facebook,"President Joe Biden was confused, “turned around and shook hands with thin air” after a speech.",Facebook posts,false
"April 13, 2022",facebook,Ukraine was responsible for the Kramatorsk train station bombing.,Facebook posts,false
"April 13, 2022",facebook,“Leftist justice reform” is the reason that the NYC subway shooting suspect wasn’t in jail at the time of the attack.,Facebook posts,false
"April 12, 2022",facebook,The Brooklyn subway attack was a false flag.,Facebook posts,pants-fire
"April 11, 2022",facebook,“Just passed into law today: You cannot go 5 miles over speed limit” in North Carolina.,Facebook posts,false
"April 8, 2022",twitter,The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.,Occupy Democrats,false
"April 11, 2022",press conference,"“You couldn’t buy a cannon when, in fact, the Second Amendment passed.""",Joe Biden,false
"April 10, 2022",facebook,The COVID-19 vaccines contain “HIV lipid wrappers.”,Facebook posts,pants-fire
"March 19, 2022",instagram,Disney CEO Bob Chapek was arrested for human trafficking.,Instagram posts,pants-fire
"April 1, 2022",facebook,John D. Rockefeller coined the term “fossil fuel” to trick people into thinking that his product was scarce and drive up the price when fossil fuels are actually “the second most abundant liquid on the planet.”,Facebook posts,false
"April 5, 2022",ad,"“Joe Biden’s open border” means that there are “more Democrat voters pouring into this country.""",J.D. Vance,false
"March 30, 2022",facebook,"“Want a healthy, happy baby? Skip the Well Baby visits. They… make your baby sick.”",Facebook posts,false
"March 23, 2022",senate hearing,"In cutting greenhouse gas emissions, the United States is “the leader in the world by far.”",Dan Sullivan,half-true
"April 4, 2022",facebook,The FBI lost Hunter Biden’s laptop.,Donald Trump Jr.,false
"April 4, 2022",instagram,Says New Zealand Prime Minister Jacinda Ardern said her country doesn’t have to deal with the “rage of older white men” because “we’ve never allowed Rupert Murdoch to set up a media outlet here.”,Instagram posts,false
"April 3, 2022",telegram,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",Russian Ministry of Defense,false
"March 28, 2022",republican,"According to the Census Bureau, “5 million more people voted than were registered to vote” in the 2020 election.",Mike Gibbons,pants-fire
"March 30, 2022",facebook,"“Democrat’s New Plan: Tax billionaires to lower the deficit by $1 TRILLION and fund clean energy independence. Republican’s New Plan: Raise taxes on households earning less than $50,000 by an ADDITIONAL $4,500 after CUTTING taxes for the rich.”",Facebook posts,barely-true
"March 25, 2022",facebook,The Biden administration is attempting “to criminalize free speech.”,Sarah Palin,false
"March 29, 2022",interview,"“You go to a store, they don’t have bread.”",Donald Trump,false
"March 27, 2022",facebook,A video shows crowds shouting profanity at Joe Biden.,Facebook posts,false
"March 20, 2022",facebook,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",Facebook posts,barely-true
"March 25, 2022",radio interview,The 2021 Georgia Senate runoff and the 2020 presidential election “were stolen.”,David Perdue,pants-fire
"March 17, 2022",facebook,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,Facebook posts,half-true
"March 23, 2022",fox,"“If you look at windmills” and the greenhouse gas emissions from building to retiring them, “the overall return is negative.”",Eli Bremer,false
"March 21, 2022",facebook,“Judge Jackson doesn’t think perverts should have to register (as sex offenders). She says it ‘stigmatizes’ THEM.”,Lars Larson,barely-true
"March 16, 2022",facebook,Ukrainian President Volodymyr Zelenskyy wore a Nazi cross symbol.,Facebook posts,false
"March 22, 2022",senate judiciary committee hearing,Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as “war criminals in a legal filing.”,John Cornyn,half-true
"March 21, 2022",No Platform,"Judge Ketanji Brown Jackson “gave child porn offenders sentences below the guidelines and below what the prosecutors were requesting,” showing she is “soft on child pornography offenders.”",Josh Hawley,barely-true
"March 21, 2022",tweet,Video shows the final moments aboard China Eastern Airlines flight 5735 before it crashed.,Tweets,false
"March 14, 2022",facebook,"Biden ""wants to buy lithium from China for electric cars.""",Facebook posts,false
"March 15, 2022",news appearance,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",Tulsi Gabbard,pants-fire
"March 14, 2022",facebook,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",Facebook posts,false
"March 14, 2022",facebook,Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”,Facebook posts,false
"March 13, 2022",facebook,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,Facebook posts,false
"March 7, 2022",tweet,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,Tweets,false
"March 4, 2022",facebook,Deceased Ukrainian fighter pilot Col. Oleksandr Oksanchenko was the “Ghost of Kyiv.”,Facebook posts,false
"February 26, 2022",video,"The U.S. military has reinstated a draft, and women are included.",TikTok posts,pants-fire
"March 9, 2022",tweet,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",Tweets,false
"March 6, 2022",facebook,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",Facebook posts,false
"March 8, 2022",speech,"The oil industry has ""9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year.""",Joe Biden,mostly-true
"March 2, 2022",blog post,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,Bloggers,pants-fire
"February 27, 2022",facebook,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",Facebook posts,false
"March 1, 2022",tweet,Video shows Ukrainian crisis actors come to life after pretending to be dead.,Tweets,false
"February 28, 2022",facebook,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,Facebook posts,false
"March 1, 2022",union address,“I’ve been in and out of Iraq and Afghanistan over 40 times.”,Joe Biden,false
"February 26, 2022",facebook,Ukrainians altered this street sign to tell Russian troops to go “f---” themselves.,Facebook posts,false
"February 21, 2022",blog post,Joe Biden was holding a medical device in a photo he tweeted during the 2022 Winter Olympics.,Bloggers,pants-fire
"February 25, 2022",florida,The 2020 election “was stolen from Donald J. Trump.”,Josh Mandel,pants-fire
"February 25, 2022",facebook,Video shows a Ukrainian fighter pilot shooting down a Russian plane.,Facebook posts,false
"February 24, 2022",ukraine,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,Vladimir Putin,false
"February 24, 2022",facebook,"This ""footage"" shows Russia attacking Ukraine.",Facebook posts,false
"February 19, 2022",rally,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",Marjorie Taylor Greene,false
"February 19, 2022",steve bannon,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",J.D. Vance,pants-fire
"February 15, 2022",statement,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",Rick Scott,false
"February 14, 2022",instagram,Says the FDA said that Pfizer “falsely misled” the agency about the safety of the COVID-19 vaccines and that the shots are killing more people than they save.,Instagram posts,pants-fire
"February 15, 2022",facebook,"""Ivanka Trump charged with major crime.”",Facebook posts,false
"February 15, 2022",facebook,"Says that President Joe Biden said Americans will start seeing “direct deposits in their bank accounts this weekend,” and that Medicare recipients will get back $2,880.",Facebook posts,pants-fire
"February 14, 2022",facebook,"Photo shows the freedom convoy in Canberra, Australia, with over 1.5 million cars.",Viral image,pants-fire
"February 9, 2022",campaign video,"""One in 13 Black Americans are deprived of the right to vote.""",Gary Chambers Jr.,half-true
"February 2, 2022",facebook,“Nevada ranks 50th in election integrity ratings.”,Jesse Haw,barely-true
"January 19, 2022",facebook,"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.",Facebook posts,false
"January 28, 2022",twitter,"""The use of ballot drop boxes and ballot harvesting is illegal.”",Kevin Nicholson,barely-true
