reviewer_name,review date,review text,review_polarity
Nick Schager,"Feb 3, 2021","Something like the epitome of [Nolan's] temporally twisty canon, distilling his many cinematic signatures and preoccupations down to their entrancing abstract essence.",fresh
PJ Nabarro,"Jan 31, 2021",Nolan's reverence for tech and the cleverness of pulling off a metaphysical narrative puzzle finally swamps his awareness of whether the thing in question is even any good.,rotten
Richard Crouse,"Jan 29, 2021",The trippy last hour is jam packed with artfully arranged action scenes that manipulate time in increasingly psychedelic ways.,fresh
Mark Cassidy,"Jan 28, 2021","Tenet has its moments, but is easily Nolan's worst film. Mostly incomprehensible; this muddled sci-fi thriller is a long way from being the ""savior of cinema."" Honestly, it'd be difficult to recommend even if we weren't in the middle of a pandemic.",rotten
Sean Fennessey,"Jan 27, 2021","Tenet asks for patience as it winds forward and backward through its narrative accordion structure...savor, even [its] flaws.",fresh
Joey Morona,"Jan 27, 2021",...'Tenet' makes 'Inception' feel like a children's story. The film is magnificently and perhaps quite purposefully confusing.,fresh
Luke Hicks,"Jan 26, 2021","Tenet isn't here to collect Oscars. It exists to pummel you with excitement, twist your sense of reality, and leave you confounded with the deafening power of its nine-figure budget.",fresh
Matt Brunson,"Jan 21, 2021","The weakest of Nolan's 11 cinematic at-bats to date, Tenet finds the filmmaker unable to get out of his own way as he attempts to spin a yarn that makes earlier efforts like Memento seem as linear and uncomplicated as A Charlie Brown Christmas.",rotten
Ben Kuchera,"Jan 19, 2021","I love Tenet so much, despite its frustrations. Nolan wants to keep pushing the boundaries of these kinds of blockbusters, and that means he's going to fail as much as he succeeds.",fresh
Sheraz Farooqi,"Jan 13, 2021","Tenet is a Christopher Nolan film in every way. An amalgamation of themes & threads out of his other films combined into one, Tenet has shades of Nolan's best work, but not without flaws.",fresh
Yasser Medina,"Jan 4, 2021","A science fiction film in which Nolan builds, visually, a twisted and frenetic experience of international espionage that is structured as if it were a narrative palindrome of dualities and retrocausality. [Full review in Spanish]",fresh
Diana Mangas,"Jan 3, 2021","It's an audiovisual experience that no movie lover should miss. Stimulating, revealing, adrenaline-pumping and spectacular, this is Christopher Nolan's new proposal. [Full review in Spanish]",fresh
Susan Granger,"Jan 2, 2021",Visually dazzling but absolutely incomprehensible and impenetrable...,rotten
Nestor Bentancor,"Dec 29, 2020",Less of a puzzle and more like a mechanical bull. But at home you can tame -and appreciate- this beast. [Full Review in Spanish],fresh
Armond White,"Dec 29, 2020","Fact is, Tenet should not be taken more seriously than a James Bond movie. As an action film, it isn't nearly as skillful as a Tom Cruise Mission Impossible commodity.",rotten
Grant Watson,"Dec 29, 2020","It is an imperfect film, but to dismiss it would be to punish it for merely being 'good' and not 'great'.",fresh
Victor Pineyro,"Dec 28, 2020","The film feels a lot like an allusion of its palindrome title. What I like most about Nolan, and Tenet, is that it challenges me and reminds me, forgive the redundancy, that movies are first felt and then understood. [Full review in Spanish]",fresh
Robert Roten,"Dec 27, 2020","Even if you are confused by all this complexity, there is still much to enjoy here. For me, it was just too much. I prefer more character depth and less emphasis on manufactured plot complications.",fresh
Christopher Llewellyn Reed,"Dec 26, 2020",Love your palindromes? The film is a dud.,rotten
Sarah Marrs,"Dec 26, 2020",Anyone who insists Tenet is Important or Otherwise Notable is probably trying to sell you something.,rotten
Kent Garrison,"Dec 26, 2020","Like with other Christopher Nolan films, it will take multiple viewings to fully realize the scope of Tenet's groundbreaking accomplishments.",fresh
Daniel M. Kimmel,"Dec 24, 2020","If you stick it out to the end, you'll either hate it or feel you need to watch it again.",fresh
Jim Ross,"Dec 23, 2020","TENET ends up something of a Rube Goldberg machine of a film: a wondrously complex set of mechanics that is fascinating, but also an incredibly convoluted way of masking what is, in essence, a thin and poorly executed story.",rotten
Fico Cangiano,"Dec 23, 2020","Christopher Nolan's most ambitious and complex film to date, also ends up being his most cold and lacking emotion. Not all of it works, but it's still better than many of the other releases this year. [Full review in Spanish]",fresh
Joel Mayward,"Dec 23, 2020","""Tenet"" succeeds in somehow transcending the audience's basic understanding of time and narrative while nevertheless keeping them engaged and entertained for the film's entirety.",fresh
John Serba,"Dec 22, 2020","A Christopher Nolan movie is an event, and Tenet and its extraordinary action set pieces justify such a tag.",fresh
Frank Swietek,"Dec 22, 2020","A flashy disappointment-intricate but not especially involving, clever but never captivating...a sterile exercise in spy movie cliché, with a twist that allows for some striking effects but... proves far less engaging than Nolan thinks it is.",rotten
Juan Barquin,"Dec 22, 2020","Amid all the nonsensical writing, messy action, and blank characters, Tenet is a display of the pure, unfiltered blockbuster-filmmaking sensibilities that Nolan always delivers.",fresh
Tim Cogshell,"Dec 22, 2020","[Christopher Nolan] is very clever, but mostly irritating is what I find. [His movies] are not cerebral - they're fake cerebral... He doesn't even do the time travel right.",rotten
Christy Lemire,"Dec 22, 2020","I am a big fan of [Christopher Nolan's] films -- I usually enjoy the time puzzle of it -- but this seems even more intentionally inaccessible and challenging than everything else... Confusing, distancing, and chilly.",rotten
Daniel Barnes,"Dec 21, 2020",Nolan at his most thrilling and semi-comprehensible.,fresh
Jared Mobarak,"Dec 19, 2020","[We] get the full Nolan treatment in spectacle without [any] emotional and psychological lifting. It'll never [match] his best, but it's undeniably entertaining nonetheless.",fresh
Ryan Syrek,"Dec 18, 2020","From Tenet's opening sequence to the final climactic battle, not knowing exactly what the hell is going on has never been so fun! That's actually kinda sincere...",fresh
Achara Kirk,"Dec 18, 2020","I could see the points when the movie was like: this is the moment where I want you to have that emotional feeling, and I really wanted to get there... there wasn't enough done in the build-up of this whole movie for me to actually, really care.",rotten
Jaby Koay,"Dec 18, 2020",It didn't engage with me as a viewer... the biggest reason I can see is that the main character didn't have this goal that was recognizable.,rotten
Jeffrey M. Anderson,"Dec 18, 2020","'Tenet' may contain [Nolan's] most ambitious use of time, but also, ultimately, the least effective.",rotten
Sean Burns,"Dec 17, 2020","Garbled nonsense of a most entertaining order, it's basically a Christopher Nolan fetish film.",fresh
G. Allen Johnson,"Dec 17, 2020","""Tenet"" is indeed impressive, although I gave up trying to follow the plot.",fresh
Mick LaSalle,"Dec 17, 2020","""Tenet"" is difficult to understand, but even worse, it inspires little desire to understand it.",rotten
Devesh Sharma,"Dec 17, 2020","All-in-all, much like the film's subject, Tenet is a film way ahead of its time. It's Nolan's most audacious experiment. Whether posterity favours it kindly -- only time will tell...",fresh
Chris Agar,"Dec 15, 2020",Tenet﻿ is a fascinating and exciting sci-fi thriller bolstered by Nolan's grand vision for action and strong performances from the cast.,fresh
Allison Rose,"Dec 15, 2020",Washington is decent as the Protagonist but not as good as he was as Ron Stallworth in BlacKkKlansman.,fresh
Mario Alegre,"Dec 14, 2020","""Tenet"" squanders all its visual spectacle through obtuse storytelling and dramatic inertia. [Full Review in Spanish]",rotten
Edwin Arnaudin,"Dec 14, 2020",The convoluted logic begins to detract from the film's enjoyment - or it would if Nolan didn't keep tossing out exciting visuals to keep viewers engaged and challenged.,fresh
Mike McGranaghan,"Dec 14, 2020",Tenet is Christopher Nolan's weakest film. It's also evidence that Christopher Nolan's weakest film is still way better and more exciting than some directors' best films.,fresh
Tessa Smith,"Dec 14, 2020","The story & plot are super intriguing and quite clever. Once you hit the end of the film, it's all tied up in a neat little bow, proving itself to be more than worth a watch.",fresh
Filipe Freitas,"Dec 13, 2020",... mediocre espionage sci-fi thriller.,rotten
Douglas Davidson,"Dec 13, 2020","... Tenet is not the best film Nolan's created, but it may be his most ambitious and there's much to be lauded in that.",fresh
Joey Magidson,"Dec 12, 2020",Tenet will go down as middle of the road Christopher Nolan. It's not a masterpiece and it's not a misfire.,fresh
Fred Topel,"Dec 10, 2020",It's basically Inception for time travel instead of dreams.,fresh
Danielle Solzman,"Dec 10, 2020",The best way to go about trying to understand Tenet is to just sit there and enjoy the ride.,fresh
Prahlad Srihari,"Dec 5, 2020","If Tenet were a Beatles song, it would be Revolution 9: gun shots and car crashes, breaking glass and muffled words, all come together in a mix, made all the more unintelligible by segments happening forward and backward.",rotten
Rohan Naahar,"Dec 4, 2020",To be constantly told how Tenet's engine works is like having Peter Jackson explain the metallurgy behind the One Ring -- unnecessary.,rotten
Emmanuel Báez,"Nov 30, 2020","A well-oiled machine in which each element fulfills a specific function, and like all machinery, lacks a soul... Nonetheless, Tenet is a fascinating experience. [Full review in Spanish]",fresh
Charles Koplinski,"Nov 27, 2020",Christopher Nolan's latest mindbender contains his trademark elaborate set pieces but lacks a story that makes a lick of sense.,rotten
Jim Schembri,"Nov 20, 2020",A beautiful mess.,fresh
Ross Anthony,"Nov 12, 2020","Excellent hard-hitting big-budget action, inconsistent dialogue /acting, refreshingly clever brain-stretching plot, great sound, a tad longer than necessary. Prepare to be confused, but entertained!",fresh
Tony Baker,"Oct 31, 2020","I was confused... but it was well executed, well acted. It looked fantastic. The set pieces, the originality of the story was great.",fresh
Marie Asner,"Oct 31, 2020","A film that wends its way around time, backward and forward, needs some space, and filling it with more intricacy doesn't always work.",rotten
Israel Acosta Aroche,"Oct 30, 2020",For the first time in a long time Christopher Nolan's work just gets a bit tiring and tiresome as he exploits his obsession with time yet again in a way that's more noisy than expressive. [Full Review in Spanish],rotten
Hugo Hernández Valdivia,"Oct 22, 2020","An interesting palindrome, but really doesn't amount to anything significant. [Full Review in Spanish]",fresh
Robert Slack,"Oct 19, 2020",Tenet is a heck of an achievement and is spectacular to watch. Technologically there is nothing like it.,fresh
Nathan Mattise,"Oct 19, 2020","Tenet is the kind of movie that leaves you asking, ""Why can't we have John David Washington as James Bond?""",fresh
Julio Fernando Navas,"Oct 19, 2020",A cerebral thriller that gives us the most gimmicky version of Nolan we've seen yet. [Full review in spanish],fresh
Matthew Pejkovic,"Oct 13, 2020",Grand scale cinema fuelled by big ideas is undercut by frustratingly poor storytelling and a dull lead performance by John David Washington.,rotten
Mattie Lucas,"Oct 10, 2020","An often electrifying grand scale thriller that tackles bold structural concepts, but its execution is a decidedly mixed bag.",fresh
Tom Santilli,"Oct 8, 2020","When put in context of what we have come to expect from Christopher Nolan...Tenet seems to land with an even more despondent, painful thud.",rotten
Sebastian Zavala Kahn,"Oct 4, 2020","It's the Nolanest movie that ever Nolaned, for better and for worse, and even more so than any of his previous efforts.",fresh
Kevin A. Ranson,"Oct 3, 2020",... asks viewers to trust what's going on will make sense once it reveals its secret... one of those rare instances where seeing the film more than once actually reaps a reward...,fresh
Rafael Motamayor,"Oct 2, 2020","Alas, Tenet is 100% Christopher Nolan - for better and worse.",fresh
Eli Glasner,"Sep 29, 2020","Some films grow richer with each viewing, I fear this one will fade. Best thing I can do is quote one of the time inversion scientists...""don't try to understand it.""",fresh
Kelley Dong,"Sep 28, 2020","The scale of its spectacle suggests innovation; but Nolan's combination of the reverse motion with the cross cut, which he's dressed with trivial exposition, has all been done before.",rotten
Jose Maria Areste,"Sep 28, 2020",As if you were holding a Rubik's cube: you will not feel calm until you manage to solve it with your hands.,fresh
Damien Straker,"Sep 28, 2020",An incomprehensible and pretentious misfire from the usually reliable Christopher Nolan.,rotten
Bob Grimm,"Sep 27, 2020",Typically good Nolan puzzler.,fresh
Germain Lussier,"Sep 25, 2020","That's Tenet in a nutshell. A movie obviously built on interesting, complex ideas, but with no clue how to put them into practice.",rotten
John Nguyen,"Sep 24, 2020","Tenet shines with its action sequences and the time inversion premise, but it quickly wears out its welcome.",rotten
Shawn Edwards,"Sep 22, 2020",John David Washington is the best part of Tenet...stuck in a story that makes zero sense and requires a massive amounts of Advil...,rotten
Dan Tabor,"Sep 22, 2020","Dense and pretentious, Tenet will irritate even the most dedicated Nolan fans with its curiously flawed similarities to Inception.",rotten
Chris McCoy,"Sep 22, 2020","Tenet addresses some important themes, such as the dangers of technology concentrating world-shattering powers in the hands of unaccountable individuals, but it treats the world as an abstraction of physics, not as a real place where real people live.",rotten
Rene Sanchez,"Sep 20, 2020","Ambitious and grandiloquent, Tenet is a palindromic thriller where past and present converge in a mission against the clock. [Full Review in Spanish]",fresh
Kathleen Sachs,"Sep 18, 2020",The auteur doesn't show much growth in his most recent self-indulgent work.,rotten
John McDonald,"Sep 18, 2020",I doubt that even the director could explain what it's about.,rotten
Margot Harrison,"Sep 16, 2020",Watching Tenet is like watching somebody else play a video game whose maddeningly complex rules you haven't had a chance to learn.,rotten
Colby Bryant,"Sep 15, 2020","...Even as it fumbles in key ways, TENET will fit the expectations set by most Nolan fans... even while this proves to be one of Nolan's lesser films, in my opinion.",fresh
Rendy Jones,"Sep 15, 2020",There comes a point where Nolan's attention to detail as a visionary filmmaker fails to compensate for his current lack of storytelling abilities.,rotten
Kiko Martinez,"Sep 15, 2020","As stellar as Tenet is for the senses, it is not something most moviegoers will want to revisit - unless, of course, they believe Nolan's brand of storytelling really doesn't add up until the third or fourth viewing.",rotten
Jackie K. Cooper,"Sep 15, 2020","The dialogue was a little lame. Kenneth Branagh chewed the scenery. Elizabeth Debicki made no impact. But lordy, lordy no one can put a movie together like Christopher Nolan.",fresh
Rubén Rosario,"Sep 14, 2020","With such lofty goals, the characters are reduced to pieces on a sleek chess board. And if Nolan doesn't give a damn about what happens to his chronology-challenged travelers, why should we?",rotten
Garth Franklin,"Sep 14, 2020","The cast are solid talents, but all struggle to breath life into a film already overstuffed and whittled down to the point of leaving no time for any natural humanity to flow though it.",rotten
Anna Smith,"Sep 14, 2020","It is easy to sit back and revel in the wonder of the big-screen experience, and to immediately want to see the film again. And again.",fresh
Ruth Maramis,"Sep 14, 2020","While I think Nolan is a talented & visionary filmmaker, with TENET he seems to care more about the fantastical spectacle + time inversion extravaganza than he is about an affecting story, so the result frankly, is a cold, detached film.",fresh
Karen M. Peterson,"Sep 13, 2020","It would be easy to dismiss the plot as confusing, but that would be generous.",rotten
Nicolás Ruiz,"Sep 13, 2020","Tenet is an obnoxious, cold and unpleasant movie. Nevertheless, Nolan achieved a rare formal experiment never seen before in summer blockbusters. Hollow, cynic and revolutionary at the same time. [Full review in Spanish]",fresh
Tom Meek,"Sep 11, 2020","This being a Christopher Nolan film, seeing it on a big screen is kind of a must - in the very least for the imposing, driving score [by Ludwig Göransson] and the impressive camera work by Hoyte Van Hoytema.",fresh
Brett McCracken,"Sep 11, 2020","The real ""inversion"" of Tenet-and ultimately, all of Nolan's films-is that its stretching upward toward the heavens boomerangs back to this world.",fresh
Louisa Moore,"Sep 11, 2020",A solid 3.5 star movie rating was unfolding. Then the big shootout battle reared its ugly head and the film became an overindulgent mash-up of Inception and 1917 that led to a dramatic drop-off in quality - and my interest.,rotten
EJ Moreno,"Sep 11, 2020","This movie tries its hardest to be a complex, puzzling adventure, but it's a puzzle with only 150 pieces. Expected so much more from this, but at least Nolan still gets ""spectacle.""",rotten
Michael J. Casey,"Sep 11, 2020","Ridiculously complicated, childishly simple, and completely overwhelming.",fresh
Arturo Magaña,"Sep 11, 2020",One of Nolan's most ambitious and complex films to date. [Full Review in Spanish],fresh
Asher Luberto,"Sep 11, 2020","A bit like solving a Rubix Cube while running a marathon, backwards.",fresh
Robert Denerstein,"Sep 11, 2020","Of the performances, Debicki stands out.",fresh
Richard Whittaker,"Sep 11, 2020","For a writer often accused of being humorless, this may be his most playful script, often arid in its dry humor, and much of it provided by Pattinson playing an inverted Felix Leiter to Washington's stoical Bond riff.",fresh
Jeffrey Edalatpour,"Sep 11, 2020",Tenet is a soundtrack attached to an incoherent set of moving images.,rotten
Sean Chandler,"Sep 10, 2020","Tenet features all of the big ideas and spectacle you want from a Christopher Nolan film, but it's also far more confusing than it needed to be.",fresh
Patrick McDonald,"Sep 10, 2020","A glorious mess of a film. The concepts in the film cause whiplash, but the visual cacophony of Christopher Nolan's imagination and current cinema tech is beautiful & emotion.",fresh
Matt Conway,"Sep 10, 2020","Tenet is more of a base single for Christopher Nolan, although even his weakest efforts still provide an exhilarating jolt of blockbuster craftmanship.",fresh
Tara McNamara,"Sep 9, 2020","Nolan's violent, elaborate epic is best for deep thinkers.",fresh
Ruben Peralta Rigaud,"Sep 9, 2020",The wait has been worth it. [Full review in Spanish],fresh
David Nusair,"Sep 9, 2020","...the movie, saddled with a muddy sound mix, is dominated by frustratingly unintelligible dialogue that compounds the already-baffling atmosphere.",fresh
Linda Cook,"Sep 9, 2020",Mind. Officially. Blown.,fresh
Tim Brayton,"Sep 9, 2020","Basically, it's a James Bond film with a bachelor's degree in physics, and it has the decency to be an extremely good James Bond film, on top of it.",fresh
Brandon Avery,"Sep 8, 2020","The concept of ""time inversion"" that Nolan developed is mind blowing being like nothing we've seen before on the big screen, but he fails at simply mixing sound dialogue correctly.",fresh
Joe Friar,"Sep 7, 2020",The most complex work yet by Nolan with a superb John David Washington as the film's protagonist. Visually stunning as the director layers scenes where others would use flashbacks or non-linear edits.,fresh
Neal Pollack,"Sep 7, 2020","As a Christopher Nolan film, it has all the warmth of a meat locker and features a Ludwig Göransson soundtrack that makes you feel like you're inside a shipping container. This is appropriate, since half the movie takes place inside shipping containers.",rotten
Bill Arceneaux,"Sep 7, 2020","'Tenet' is pure escapism, in the tradition of greats like 'King Kong' and 'Bowfinger' (that's right, a comedy).",fresh
Matt Goldberg,"Sep 7, 2020","Nolan's new movie is all gimmick, and devoid of those fascinating questions of identity and truth that invigorated his previous efforts.",rotten
Kaitlyn Booth,"Sep 6, 2020","Tenet is trying very hard to be deep and meaningful, but the archetypical characters and over-explanation of the convoluted storyline means we have a lot of homoeroticism in fantastic menswear in between awesome set pieces.",fresh
Drew Dietsch,"Sep 6, 2020","Devoid of soul and verve, Tenet is a winning science project but a failure as a piece of art.",rotten
Dennis Schwartz,"Sep 5, 2020",If it wasn't so smart and muddled it could pass for a Bond thriller.,fresh
Dominic Griffin,"Sep 5, 2020","It's not the cinematic savior some have made it out to be, but that doesn't mean it's not a total blast. Once you accept how dumb its central concept is, the real fun can begin.",fresh
Piers Marchant,"Sep 4, 2020","The truth is, I had more fun after putting my pen down and letting it wash over me like an extremely loud, chaotic waterfall.",fresh
Adam Kempenaar,"Sep 4, 2020",Tenet is what happens when Nolan forgets Borden's wisdom [from The Prestige]. He's so obsessed with how impressive his 'secret' is that the trick he uses it for is nothing.,rotten
Christopher Lloyd,"Sep 4, 2020","A massive, sprawling, largely incomprehensible mess, albeit with Nolan's usual slick action scenes and sense of weight.",rotten
Paul McGuire Grimes,"Sep 4, 2020",This is 100% pure Christopher Nolan. He pushes the boundaries of storytelling and filmmaking.,fresh
Sean Collier,"Sep 4, 2020",Nolan has created a story so obtuse that the viewer cannot hope to grasp it - while simultaneously demanding reverence and mid-pandemic attendance.,rotten
Anthony Lane,"Sep 4, 2020","What strikes you is how determinedly bare of feeling it seems, even when emotional opportunities present themselves.",rotten
Sonny Bunch,"Sep 4, 2020",Tenet is ambitious and messy and big and bold. ... It's a movie worth seeing in theaters on as large a screen as possible.,fresh
Mark Feeney,"Sep 4, 2020","Telling a story backward sounds bizarre - it is bizarre - but it works. The backward stuff in ""Tenet"" sounds bizarre - worse than bizarre, goofy - and for a while it works. But once it doesn't, it really doesn't.",fresh
Christian Toto,"Sep 4, 2020",Christopher Nolan's latest dazzles the senses while making no sense at all.,rotten
Frank Wilkins,"Sep 4, 2020","a loud, boisterous, eye-popping spectacle that will absolutely blow your socks off with dazzling visuals and immersive exhibition, even if solving puzzles isn't your thing",fresh
Micheal Compton,"Sep 4, 2020",Nolan's homage to the spy genre is a globetrotting epic that features some well-crafted action sequences that help gloss over a plot that sometimes gets a little convoluted for its own good.,fresh
Alissa Wilkinson,"Sep 4, 2020","It's the first Nolan movie in a long while that I've left feeling disappointed. And yet there is enough good stuff buried beneath its antiseptic, perhaps overly showy technique, once you get past the clankier bits, that is worth exploring.",fresh
Michael Burgin,"Sep 4, 2020","Though personal growth and emotional depth are hardly necessary ingredients in a spy thriller... with so much else about Nolan's script a mental exercise made real, some emotional stakes would be helpful to bring it alive.",fresh
Michael Lee,"Sep 4, 2020","It's an intricate Rubik's cube of a film that... never quite pieces itself together. But in this ever-changing world in which we live in, we need filmmakers like Nolan, who dare to be bold and try to look at the world differently.",fresh
Steven Prokopy,"Sep 4, 2020","Even with its shortcomings, Tenet is loads of fun to absorb, whether you attempt to understand it or not.",fresh
Dan Buffa,"Sep 4, 2020","The setup gives his movies a fresh look along with an old soul that is irresistible. Like staring into Debicki's eyes for more than five seconds, you're a goner every time.",fresh
Chris Evangelista,"Sep 4, 2020","Christopher Nolan Creates Stunning Action in a Frustrating, Muddled Movie.",fresh
Stephen Silver,"Sep 4, 2020","it's visually stunning, thanks to Nolan and cinematographer Hoyte van Hoytema, and contains some of the year's best action filmmaking, but its plot is needlessly complex",fresh
Evan Dossey,"Sep 4, 2020",The dullness of its story is counterbalanced by set pieces action fans will never stop talking about - for better or worse.,fresh
Jeff Beck,"Sep 4, 2020","On the whole, while Tenet does have some things to like about it, it does ultimately prove to be one of Nolan's weaker efforts, at least from a narrative standpoint.",rotten
Wendy Shreve,"Sep 4, 2020","No question that Nolan's superlative filmmaking technique, once again, rises to the occasion.",fresh
Michael A. Smith,"Sep 4, 2020",Technically the film is a masterpiece. The production design is first rate and the various locations jump off the screen like three-dimensional postcards.,fresh
Cameron Meier,"Sep 4, 2020","Tenet is all action all the time, sacrificing heart and clarity for spectacle.",rotten
Charles Koplinski,"Sep 4, 2020",The biggest problem with the film is its lack of heart. This is a cold exercise lacking an avenue through which the viewer can become emotionally engaged.,rotten
Kate Rodger,"Sep 3, 2020",Don't try to keep up -- just sit back and let Tenet carry you away.,fresh
Jeremy Jahns,"Sep 3, 2020","By the end, I enjoyed it.",fresh
Rob Thomas,"Sep 3, 2020","""Tenet"" is Nolan's attempt to outdo and subvert the James Bond thriller, a globe-hopping adventure that gets increasingly heady and convoluted as it goes forward. And then backward. And then forward again.",fresh
Russ Simmons,"Sep 3, 2020","""Tenet"" is virtuoso filmmaking and frustrating storytelling in equal measure.",fresh
Rich Cline,"Sep 3, 2020",Christopher Nolan's latest brain-bender is an entertaining if rather dense spy thriller.,fresh
A.A. Dowd,"Sep 3, 2020","It's a shiny clockwork contraption with a hollow center: a convoluted Rubik's Cube blockbuster that, once solved, reveals little more than the complexity of its own design.",rotten
Lauren Coates,"Sep 3, 2020","Although the action scenes are certainly flashy and take some interesting risks, the plot is so needlessly complicated and the characters so painfully stale that the film just isn't worth your time -- no pun intended.",rotten
Cate Marquis,"Sep 3, 2020","The film is technically excellent, with jaw-dropping action and clever plot twists. Action fans should be more that delighted with all that, which is brilliantly executed.",fresh
